Age_group,State,Gender,Year,Total
0-14,A & N ISLANDS,Female,2001,6
0-14,A & N ISLANDS,Female,2002,6
0-14,A & N ISLANDS,Female,2003,12
0-14,A & N ISLANDS,Female,2004,3
0-14,A & N ISLANDS,Female,2005,9
0-14,A & N ISLANDS,Female,2006,3
0-14,A & N ISLANDS,Female,2007,18
0-14,A & N ISLANDS,Female,2008,0
0-14,A & N ISLANDS,Female,2009,21
0-14,A & N ISLANDS,Female,2010,0
0-14,A & N ISLANDS,Female,2011,12
0-14,A & N ISLANDS,Female,2012,3
0-14,A & N ISLANDS,Male,2001,6
0-14,A & N ISLANDS,Male,2002,6
0-14,A & N ISLANDS,Male,2003,3
0-14,A & N ISLANDS,Male,2004,0
0-14,A & N ISLANDS,Male,2005,15
0-14,A & N ISLANDS,Male,2006,12
0-14,A & N ISLANDS,Male,2007,0
0-14,A & N ISLANDS,Male,2008,0
0-14,A & N ISLANDS,Male,2009,3
0-14,A & N ISLANDS,Male,2010,12
0-14,A & N ISLANDS,Male,2011,3
0-14,A & N ISLANDS,Male,2012,6
0-14,ANDHRA PRADESH,Female,2001,555
0-14,ANDHRA PRADESH,Female,2002,417
0-14,ANDHRA PRADESH,Female,2003,591
0-14,ANDHRA PRADESH,Female,2004,426
0-14,ANDHRA PRADESH,Female,2005,483
0-14,ANDHRA PRADESH,Female,2006,585
0-14,ANDHRA PRADESH,Female,2007,582
0-14,ANDHRA PRADESH,Female,2008,366
0-14,ANDHRA PRADESH,Female,2009,381
0-14,ANDHRA PRADESH,Female,2010,390
0-14,ANDHRA PRADESH,Female,2011,429
0-14,ANDHRA PRADESH,Female,2012,429
0-14,ANDHRA PRADESH,Male,2001,519
0-14,ANDHRA PRADESH,Male,2002,303
0-14,ANDHRA PRADESH,Male,2003,465
0-14,ANDHRA PRADESH,Male,2004,285
0-14,ANDHRA PRADESH,Male,2005,429
0-14,ANDHRA PRADESH,Male,2006,507
0-14,ANDHRA PRADESH,Male,2007,363
0-14,ANDHRA PRADESH,Male,2008,273
0-14,ANDHRA PRADESH,Male,2009,201
0-14,ANDHRA PRADESH,Male,2010,285
0-14,ANDHRA PRADESH,Male,2011,336
0-14,ANDHRA PRADESH,Male,2012,195
0-14,ARUNACHAL PRADESH,Female,2001,6
0-14,ARUNACHAL PRADESH,Female,2002,6
0-14,ARUNACHAL PRADESH,Female,2003,3
