State,Age_group,Gender,Year,Total
A & N ISLANDS,0-100+,Female,2001,100
A & N ISLANDS,0-100+,Female,2002,106
A & N ISLANDS,0-100+,Female,2003,86
A & N ISLANDS,0-100+,Female,2004,82
A & N ISLANDS,0-100+,Female,2005,106
A & N ISLANDS,0-100+,Female,2006,74
A & N ISLANDS,0-100+,Female,2007,112
A & N ISLANDS,0-100+,Female,2008,90
A & N ISLANDS,0-100+,Female,2009,90
A & N ISLANDS,0-100+,Female,2010,88
A & N ISLANDS,0-100+,Female,2011,84
A & N ISLANDS,0-100+,Female,2012,82
A & N ISLANDS,0-100+,Male,2001,158
A & N ISLANDS,0-100+,Male,2002,182
A & N ISLANDS,0-100+,Male,2003,140
A & N ISLANDS,0-100+,Male,2004,162
A & N ISLANDS,0-100+,Male,2005,172
A & N ISLANDS,0-100+,Male,2006,192
A & N ISLANDS,0-100+,Male,2007,200
A & N ISLANDS,0-100+,Male,2008,196
A & N ISLANDS,0-100+,Male,2009,172
A & N ISLANDS,0-100+,Male,2010,224
A & N ISLANDS,0-100+,Male,2011,188
A & N ISLANDS,0-100+,Male,2012,160
A & N ISLANDS,0-14,Female,2001,6
A & N ISLANDS,0-14,Female,2002,6
A & N ISLANDS,0-14,Female,2003,12
A & N ISLANDS,0-14,Female,2004,3
A & N ISLANDS,0-14,Female,2005,9
A & N ISLANDS,0-14,Female,2006,3
A & N ISLANDS,0-14,Female,2007,18
A & N ISLANDS,0-14,Female,2008,0
A & N ISLANDS,0-14,Female,2009,21
A & N ISLANDS,0-14,Female,2010,0
A & N ISLANDS,0-14,Female,2011,12
A & N ISLANDS,0-14,Female,2012,3
A & N ISLANDS,0-14,Male,2001,6
A & N ISLANDS,0-14,Male,2002,6
A & N ISLANDS,0-14,Male,2003,3
A & N ISLANDS,0-14,Male,2004,0
A & N ISLANDS,0-14,Male,2005,15
A & N ISLANDS,0-14,Male,2006,12
A & N ISLANDS,0-14,Male,2007,0
A & N ISLANDS,0-14,Male,2008,0
A & N ISLANDS,0-14,Male,2009,3
A & N ISLANDS,0-14,Male,2010,12
A & N ISLANDS,0-14,Male,2011,3
A & N ISLANDS,0-14,Male,2012,6
A & N ISLANDS,15-29,Female,2001,93
A & N ISLANDS,15-29,Female,2002,84
A & N ISLANDS,15-29,Female,2003,84
A & N ISLANDS,15-29,Female,2004,69
A & N ISLANDS,15-29,Female,2005,81
A & N ISLANDS,15-29,Female,2006,63
A & N ISLANDS,15-29,Female,2007,90
A & N ISLANDS,15-29,Female,2008,69
A & N ISLANDS,15-29,Female,2009,57
A & N ISLANDS,15-29,Female,2010,84
A & N ISLANDS,15-29,Female,2011,57
A & N ISLANDS,15-29,Female,2012,63
A & N ISLANDS,15-29,Male,2001,75
A & N ISLANDS,15-29,Male,2002,81
A & N ISLANDS,15-29,Male,2003,69
A & N ISLANDS,15-29,Male,2004,102
A & N ISLANDS,15-29,Male,2005,45
A & N ISLANDS,15-29,Male,2006,63
A & N ISLANDS,15-29,Male,2007,108
A & N ISLANDS,15-29,Male,2008,93
A & N ISLANDS,15-29,Male,2009,93
A & N ISLANDS,15-29,Male,2010,117
A & N ISLANDS,15-29,Male,2011,84
A & N ISLANDS,15-29,Male,2012,66
A & N ISLANDS,30-44,Female,2001,27
A & N ISLANDS,30-44,Female,2002,42
A & N ISLANDS,30-44,Female,2003,24
A & N ISLANDS,30-44,Female,2004,39
A & N ISLANDS,30-44,Female,2005,24
A & N ISLANDS,30-44,Female,2006,30
A & N ISLANDS,30-44,Female,2007,30
A & N ISLANDS,30-44,Female,2008,39
A & N ISLANDS,30-44,Female,2009,42
A & N ISLANDS,30-44,Female,2010,33
A & N ISLANDS,30-44,Female,2011,33
A & N ISLANDS,30-44,Female,2012,36
A & N ISLANDS,30-44,Male,2001,69
A & N ISLANDS,30-44,Male,2002,84
A & N ISLANDS,30-44,Male,2003,69
A & N ISLANDS,30-44,Male,2004,72
A & N ISLANDS,30-44,Male,2005,72
A & N ISLANDS,30-44,Male,2006,102
A & N ISLANDS,30-44,Male,2007,78
A & N ISLANDS,30-44,Male,2008,96
A & N ISLANDS,30-44,Male,2009,69
A & N ISLANDS,30-44,Male,2010,99
A & N ISLANDS,30-44,Male,2011,105
A & N ISLANDS,30-44,Male,2012,78
A & N ISLANDS,45-59,Female,2001,15
A & N ISLANDS,45-59,Female,2002,18
A & N ISLANDS,45-59,Female,2003,6
A & N ISLANDS,45-59,Female,2004,9
A & N ISLANDS,45-59,Female,2005,30
A & N ISLANDS,45-59,Female,2006,9
A & N ISLANDS,45-59,Female,2007,24
A & N ISLANDS,45-59,Female,2008,15
A & N ISLANDS,45-59,Female,2009,12
A & N ISLANDS,45-59,Female,2010,6
A & N ISLANDS,45-59,Female,2011,18
A & N ISLANDS,45-59,Female,2012,9
