State,Total,Female,Male
A & N ISLANDS,8109,1100,2146
ANDHRA PRADESH,814059,108792,216848
ARUNACHAL PRADESH,6633,782,1874
ASSAM,172276,22062,46876
BIHAR,46214,8106,10384
CHANDIGARH,5164,756,1312
CHHATTISGARH,302354,39478,81512
D & N HAVELI,3430,560,812
DAMAN & DIU,1391,190,368
DELHI (UT),84272,12276,21438
GOA,17363,2210,4740
GUJARAT,330858,53008,79346
HARYANA,147176,15646,43228
HIMACHAL PRADESH,26562,3862,6776
JAMMU & KASHMIR,14821,2726,3210
JHARKHAND,49720,7084,12816
KARNATAKA,734825,97148,196782
KERALA,538946,58062,157810
LAKSHADWEEP,50,12,8
MADHYA PRADESH,451535,81260,99354
MAHARASHTRA,901945,117270,243508
MANIPUR,2102,266,576
MEGHALAYA,5415,626,1546
MIZORAM,4154,222,1446
NAGALAND,1728,174,520
ODISHA,267234,43842,63054
PUDUCHERRY,32144,4402,8456
PUNJAB,46350,4390,14150
RAJASTHAN,255134,32916,69138
SIKKIM,9606,1328,2520
TAMIL NADU,818691,122648,204978
TRIPURA,45965,7424,10964
UTTAR PRADESH,233352,43224,50136
UTTARAKHAND,18496,3022,4382
WEST BENGAL,849936,151152,200822
